genome	parameter	hmsc_trend
cmag_001	0.03177346068990441	increaser
cmag_002	-0.01884852684839909	decreaser
cmag_003	0.04496471572734821	increaser
cmag_004	0.04508196001086461	increaser
cmag_005	0.048972644668240285	increaser
cmag_006	-0.006370759298261662	decreaser
cmag_007	0.03910782197935551	increaser
cmag_008	0.003266347395773287	increaser
cmag_009	-0.025458483201829463	decreaser
cmag_010	-0.042982421609007754	decreaser
cmag_011	0.04220718825341281	increaser
cmag_012	NA	stable
cmag_013	0.040141409534698594	increaser
cmag_014	0.04662533881776143	increaser
cmag_015	0.03539534541741767	increaser
cmag_016	0.03391387268456332	increaser
cmag_017	0.03549544062439758	increaser
cmag_018	0.04234164148938214	increaser
cmag_019	0.015588782910292812	increaser
cmag_020	0.016891827155009323	increaser
cmag_021	0.028758608162687136	increaser
cmag_022	0.041022609647236995	increaser
cmag_023	-0.007153184194379013	decreaser
cmag_024	-0.017318713421719478	decreaser
cmag_025	-0.02366001909537785	decreaser
cmag_026	-0.05025968176011537	decreaser
cmag_027	0.05107583852460711	increaser
cmag_028	0.037413873395203016	increaser
cmag_029	0.03502453224106481	increaser
cmag_030	0.02863075457254871	increaser
cmag_031	0.007848052211350086	increaser
cmag_032	-0.013110936266477087	decreaser
cmag_033	0.0328398596779044	increaser
cmag_034	-0.025873399396614403	decreaser
cmag_035	-0.024226536207521358	decreaser
cmag_036	-0.027890086574141142	decreaser
cmag_037	NA	stable
cmag_038	-0.015999042323528594	decreaser
cmag_039	-0.018057844975722295	decreaser
cmag_040	-0.00923092118040076	decreaser
cmag_041	0.036508497934518255	increaser
cmag_042	NA	stable
cmag_043	0.005593020330819244	increaser
cmag_044	0.020737482575352437	increaser
cmag_045	0.015283491433485005	increaser
cmag_046	0.04589878294763284	increaser
cmag_047	NA	stable
cmag_048	-0.009517222115260002	decreaser
cmag_049	0.00904780605811026	increaser
cmag_050	-0.012490042036359495	decreaser
cmag_051	-0.005756474754720896	decreaser
cmag_052	0.0404017318959711	increaser
cmag_053	0.04748117078723254	increaser
cmag_054	0.04519721045957887	increaser
cmag_055	0.03025066421802662	increaser
cmag_056	0.02602726527919451	increaser
cmag_057	0.04991473678493934	increaser
cmag_058	0.04164161133315587	increaser
cmag_059	NA	stable
cmag_060	0.011420506563414607	increaser
cmag_061	0.025182790292758276	increaser
cmag_062	0.04053154021650704	increaser
cmag_063	NA	stable
cmag_064	-0.017631819367579453	decreaser
cmag_065	-0.019623682658529196	decreaser
cmag_066	NA	stable
cmag_067	0.03779514164448033	increaser
cmag_068	0.043006166032045455	increaser
cmag_069	0.03887091096611435	increaser
cmag_070	0.041063539794343885	increaser
cmag_071	-0.023127850238714217	decreaser
cmag_072	0.02345291753617056	increaser
cmag_073	0.018904224826285874	increaser
cmag_074	0.029797448717310226	increaser
cmag_075	0.02034967320936512	increaser
cmag_076	-0.012180981510115735	decreaser
cmag_077	0.03986239777303121	increaser
cmag_078	-0.004189278341624158	decreaser
cmag_079	-0.03152302823244093	decreaser
cmag_080	-0.045352695134106114	decreaser
cmag_081	-0.021186702355039486	decreaser
cmag_082	-0.025888683853912253	decreaser
cmag_083	0.04666032647083737	increaser
cmag_084	0.028596437261885585	increaser
cmag_085	0.04840159380113028	increaser
cmag_086	-0.018918960697464387	decreaser
cmag_087	-0.024770471955368484	decreaser
cmag_088	0.016242662833306307	increaser
cmag_089	-0.0190734935994391	decreaser
cmag_090	0.0429736008002666	increaser
cmag_091	-0.029211670937068127	decreaser
cmag_092	0.037285437067098436	increaser
cmag_093	NA	stable
cmag_094	-0.010704451744468343	decreaser
cmag_095	0.01585784143730066	increaser
cmag_096	-0.019992489770108687	decreaser
cmag_097	-0.029227335120163407	decreaser
cmag_098	-0.005022879621900681	decreaser
cmag_099	0.0055210229089242896	increaser
cmag_100	0.013453758550521153	increaser
cmag_101	-0.013294986702434829	decreaser
cmag_102	-0.0036657913584386805	decreaser
cmag_103	0.03516427565625855	increaser
cmag_104	0.048698434811866795	increaser
cmag_105	0.003961680371522626	increaser
cmag_106	0.04643390966631922	increaser
cmag_107	0.03989575998430105	increaser
cmag_108	0.043502667339505204	increaser
cmag_109	0.03895578660566903	increaser
cmag_110	0.03355027082478688	increaser
cmag_111	0.03394463117221938	increaser
cmag_112	0.009523570684200493	increaser
cmag_113	0.04774801721931017	increaser
cmag_114	0.03559211235351895	increaser
cmag_115	-0.007310973660543026	decreaser
cmag_116	0.04208143134583316	increaser
cmag_117	0.03896182077318606	increaser
cmag_118	0.011517962898791959	increaser
cmag_119	0.029083858468571634	increaser
cmag_120	-0.02495175334181386	decreaser
cmag_121	0.008079300386158412	increaser
cmag_122	-0.020971795066804886	decreaser
cmag_123	NA	stable
cmag_124	0.016443865224999226	increaser
cmag_125	0.0044964783666128745	increaser
cmag_126	-0.020140293148972314	decreaser
cmag_127	-0.034969472550822445	decreaser
cmag_128	-0.021026987446108	decreaser
cmag_129	-0.016638266266063354	decreaser
cmag_130	-0.019315599030668346	decreaser
cmag_131	0.05087758004207171	increaser
cmag_132	0.04033566518229382	increaser
cmag_133	0.008041189515477042	increaser
cmag_134	0.0211845968811688	increaser
cmag_135	0.03858898186935896	increaser
cmag_136	NA	stable
cmag_137	-0.011421342596372442	decreaser
cmag_138	-0.004248935737453643	decreaser
cmag_139	0.027688243618179918	increaser
cmag_140	0.03825494736807607	increaser
cmag_141	0.01527323938275066	increaser
cmag_142	0.02756104046194734	increaser
cmag_143	0.036983681092700754	increaser
cmag_144	0.04016225981953238	increaser
cmag_145	0.03434718381542485	increaser
cmag_146	-0.004818806466298336	decreaser
cmag_147	-0.025011054361719038	decreaser
cmag_148	0.033489940862950006	increaser
cmag_149	0.04280165665691035	increaser
cmag_150	0.0387518200645807	increaser
cmag_151	0.038340380815743	increaser
cmag_152	NA	stable
cmag_153	-0.015953635206978324	decreaser
cmag_154	-0.008402946749850529	decreaser
cmag_155	0.02330747023233378	increaser
cmag_156	0.038172523477095745	increaser
cmag_157	0.04635017826999222	increaser
cmag_158	0.03611559155843382	increaser
cmag_159	0.010904046110624451	increaser
cmag_160	-0.01695178207418392	decreaser
cmag_161	0.01829327332284748	increaser
cmag_162	-0.014065510280927597	decreaser
cmag_163	0.04253748473075579	increaser
cmag_164	0.04458164679827417	increaser
cmag_165	0.016041698613055863	increaser
cmag_166	-0.0070277484957688135	decreaser
cmag_167	-0.017503510370948137	decreaser
cmag_168	-0.013330229170603489	decreaser
cmag_169	0.031317957437406965	increaser
cmag_170	-0.03702132094869266	decreaser
cmag_171	0.017464938922148766	increaser
cmag_172	0.005666226937454599	increaser
cmag_173	-0.010288013241369244	decreaser
cmag_174	-0.018072017257438216	decreaser
cmag_175	-0.027604041456980297	decreaser
cmag_176	-0.011674608971012149	decreaser
cmag_177	-0.016301063043423027	decreaser
cmag_178	-0.007050328657688906	decreaser
cmag_179	-0.0034942977552560334	decreaser
cmag_180	0.004866967769227783	increaser
cmag_181	NA	stable
cmag_182	NA	stable
cmag_183	0.025375081870883887	increaser
cmag_184	-0.028279028938519427	decreaser
cmag_185	-0.02222227233610832	decreaser
cmag_186	-0.024416826158537058	decreaser
cmag_187	0.04891784708131375	increaser
cmag_188	0.04756876563017823	increaser
cmag_189	0.04977369380082156	increaser
cmag_190	0.03598188513684942	increaser
cmag_191	0.041431079082580244	increaser
cmag_192	0.03361410461577695	increaser
cmag_193	0.030937470519061868	increaser
cmag_194	0.04363502209709932	increaser
cmag_195	0.02213250077716879	increaser
cmag_196	0.0479838479802789	increaser
cmag_197	NA	stable
cmag_198	NA	stable
cmag_199	0.04350240844848676	increaser
cmag_200	NA	stable
cmag_201	-0.009947928208978355	decreaser
cmag_202	NA	stable
cmag_203	0.006282190817513254	increaser
cmag_204	0.0334545545590009	increaser
cmag_205	0.03241195667880088	increaser
cmag_206	0.03958496219417532	increaser
cmag_207	0.007309531345151127	increaser
cmag_208	0.046489322786169004	increaser
cmag_209	0.004096464111750104	increaser
cmag_210	0.04436690449863849	increaser
cmag_211	NA	stable
cmag_212	NA	stable
cmag_213	0.038541962956783846	increaser
cmag_214	0.01475268497337418	increaser
cmag_215	0.04634514219290866	increaser
cmag_216	0.056334749056943294	increaser
cmag_217	0.04254469919539137	increaser
cmag_218	0.0054357387122865464	increaser
cmag_219	-0.023834628118952126	decreaser
cmag_220	-0.002996801291070522	decreaser
cmag_221	0.031853533625890884	increaser
cmag_222	0.020404779273881124	increaser
cmag_223	0.0309598577847086	increaser
cmag_224	0.02642501620383861	increaser
cmag_225	0.012462614431006325	increaser
cmag_226	-0.007443884344879312	decreaser
cmag_227	NA	stable
cmag_228	-0.022634580745135368	decreaser
cmag_229	0.0066344335819516435	increaser
cmag_230	0.03720553744981166	increaser
cmag_231	-0.019195713685742334	decreaser
cmag_232	0.03540444830516721	increaser
cmag_233	-0.013125080683076896	decreaser
cmag_234	0.03393584434162124	increaser
cmag_235	-0.014078640246552032	decreaser
cmag_236	0.025641653258287163	increaser
cmag_237	0.016867781842410803	increaser
cmag_238	-0.027518676085773717	decreaser
cmag_239	0.036683674393853	increaser
cmag_240	-0.01747605847866857	decreaser
cmag_241	0.012544569095722428	increaser
cmag_242	0.0355666135601033	increaser
cmag_243	0.032481409902809656	increaser
cmag_244	0.016999496679333235	increaser
cmag_245	-0.008565148537712612	decreaser
cmag_246	0.009570101395792093	increaser
cmag_247	NA	stable
cmag_248	0.0262247848455512	increaser
cmag_249	0.04651993980170248	increaser
cmag_250	0.03822464269555711	increaser
cmag_251	0.025958956813237604	increaser
cmag_252	0.034477434809912035	increaser
cmag_253	NA	stable
cmag_254	0.02651433269297927	increaser
cmag_255	-0.03259050250964458	decreaser
cmag_256	0.01276957591861576	increaser
cmag_257	0.0375124553815463	increaser
cmag_258	0.004785868067649083	increaser
cmag_259	0.01215374809862102	increaser
cmag_260	0.017447916410671643	increaser
cmag_261	0.03523494996104668	increaser
cmag_262	0.01354951456171136	increaser
cmag_263	0.045736126031747	increaser
cmag_264	0.04285548084132458	increaser
cmag_265	0.012770676386642808	increaser
cmag_266	-0.022018985583729684	decreaser
cmag_267	0.01580450942640493	increaser
cmag_268	0.009168607493255267	increaser
cmag_269	0.011289031953956962	increaser
cmag_270	-0.006133891800452709	decreaser
cmag_271	NA	stable
cmag_272	0.039062734270210675	increaser
cmag_273	0.030123710573078007	increaser
cmag_275	0.04423940171330326	increaser
cmag_276	0.044354830464108846	increaser
cmag_277	0.019017867506703007	increaser
cmag_278	0.007361960381251326	increaser
cmag_279	0.05716411770230786	increaser
cmag_280	0.041878819906093885	increaser
cmag_281	NA	stable
cmag_282	0.029548949513189534	increaser
cmag_283	0.03244699370969483	increaser
cmag_284	0.04432885905658318	increaser
cmag_285	0.02102706743286535	increaser
cmag_286	0.03888087916882934	increaser
cmag_287	0.04322925572244753	increaser
cmag_288	NA	stable
cmag_289	0.00842974977817058	increaser
cmag_290	0.04490610882749918	increaser
cmag_291	-0.01895719740136563	decreaser
cmag_292	NA	stable
cmag_293	0.032703007655995216	increaser
cmag_294	0.04580745997176831	increaser
cmag_295	-0.02871300756592098	decreaser
cmag_296	0.009563653590076155	increaser
cmag_297	0.018406405791588275	increaser
cmag_298	-0.022950805705676994	decreaser
cmag_299	0.027378206947814093	increaser
cmag_300	0.023287164294129123	increaser
cmag_301	0.04936772795446635	increaser
cmag_302	0.04446862856866925	increaser
cmag_303	0.04659529554863821	increaser
cmag_304	-0.008579697152935899	decreaser
cmag_305	0.03374269189109977	increaser
cmag_306	0.01505925357409141	increaser
cmag_307	0.04230975136689688	increaser
cmag_308	-0.013313536048179055	decreaser
cmag_309	0.004041839336607457	increaser
cmag_310	0.01020923021662437	increaser
cmag_311	0.04048650798802715	increaser
cmag_312	0.033263258769924996	increaser
cmag_313	0.03529233329400056	increaser
cmag_314	0.03705057295809127	increaser
cmag_315	-0.02073512195258432	decreaser
cmag_316	0.039299753668549	increaser
cmag_317	0.037293752558486624	increaser
cmag_318	0.04540420745226688	increaser
cmag_319	0.04423715777131594	increaser
cmag_320	0.004627956633562357	increaser
cmag_321	0.016390130963468363	increaser
cmag_322	-0.011783834941510437	decreaser
cmag_323	0.024328875004449177	increaser
cmag_324	-0.0073134447211505365	decreaser
cmag_325	-0.009933516685352166	decreaser
cmag_326	-0.022490726539832806	decreaser
cmag_327	-0.01085756687478015	decreaser
cmag_328	0.03784378184273831	increaser
cmag_329	-0.02040955757782175	decreaser
cmag_330	-0.013275260769997334	decreaser
cmag_331	0.04826094169562797	increaser
cmag_332	NA	stable
cmag_333	0.009233324926994083	increaser
cmag_334	0.040698439175729045	increaser
cmag_335	0.014261924885984753	increaser
cmag_336	0.034936426721742374	increaser
cmag_337	-0.006729938509995672	decreaser
cmag_338	-0.030444504878862667	decreaser
cmag_339	-0.018256152991404782	decreaser
cmag_340	0.027107946767382263	increaser
cmag_341	-0.011878969869939946	decreaser
cmag_342	0.02969858371043659	increaser
cmag_343	-0.00340939035572793	decreaser
cmag_344	0.012236632395695102	increaser
cmag_345	-0.01919344603418053	decreaser
cmag_346	0.011941691410377053	increaser
cmag_347	NA	stable
cmag_348	0.04181525932883613	increaser
cmag_349	-0.03148063877577569	decreaser
cmag_350	0.04147016898019923	increaser
cmag_351	0.01949228368407887	increaser
cmag_352	0.0068083709928537075	increaser
cmag_353	0.04231919875441894	increaser
cmag_354	0.03555470693865683	increaser
cmag_355	-0.013265285948349238	decreaser
cmag_356	0.0435250124221424	increaser
cmag_357	0.03991067882845773	increaser
cmag_358	0.04568028610807196	increaser
cmag_359	0.014245040975525057	increaser
cmag_360	0.021442553258286177	increaser
cmag_361	-0.04165038742676781	decreaser
cmag_362	0.036641255656472686	increaser
cmag_363	0.04128694129389957	increaser
cmag_364	-0.0035145464467954586	decreaser
cmag_365	0.04886243765975397	increaser
cmag_366	0.0453107757849232	increaser
cmag_367	0.039788430624542716	increaser
cmag_368	0.04697263103284561	increaser
cmag_369	0.034451485235166834	increaser
cmag_370	NA	stable
cmag_371	NA	stable
cmag_372	0.037008563666867035	increaser
cmag_373	0.012918783246877636	increaser
cmag_374	0.015346710727166079	increaser
cmag_375	NA	stable
cmag_376	0.01563139726127441	increaser
cmag_377	0.016273276274771476	increaser
cmag_378	0.036297973787650616	increaser
cmag_379	0.012865212916976222	increaser
cmag_380	0.03148903365040662	increaser
cmag_381	0.038012818818892145	increaser
cmag_382	0.031386381310229555	increaser
cmag_383	0.031780541265248985	increaser
cmag_384	0.03965787426314335	increaser
cmag_385	0.037827068434202964	increaser
cmag_386	0.035142202676698195	increaser
cmag_387	0.03981867869155596	increaser
cmag_388	0.04807364634254847	increaser
cmag_389	0.04605660065741084	increaser
cmag_390	0.03863947952798293	increaser
cmag_391	0.03038543264152379	increaser
cmag_392	NA	stable
cmag_393	-0.01077741778738891	decreaser
cmag_394	0.0063833890666321605	increaser
cmag_395	NA	stable
cmag_396	0.03784363575047383	increaser
cmag_397	0.04085559002653462	increaser
cmag_398	0.03733025954899949	increaser
cmag_399	0.037526610267132006	increaser
cmag_400	-0.012689925727651817	decreaser
cmag_401	0.027423414359923282	increaser
cmag_402	0.046098649604192944	increaser
cmag_403	-0.021622901629163103	decreaser
cmag_404	0.030534377391772914	increaser
cmag_405	0.007565755528865732	increaser
cmag_406	0.01398892093821286	increaser
cmag_407	0.03695280893971139	increaser
cmag_408	0.04038194575882677	increaser
cmag_409	-0.019154854259501582	decreaser
cmag_410	-0.006285360660567583	decreaser
cmag_411	0.035034159790390706	increaser
cmag_412	0.039087443720642004	increaser
cmag_413	0.023934460453538857	increaser
